iter	Passed	Remaining
0	103	103272
1	106	52896
2	112	37305
3	115	28663
4	124	24837
5	129	21535
6	135	19169
7	144	17878
8	150	16590
9	157	15598
10	160	14440
11	164	13579
12	172	13113
13	177	12493
14	182	12004
15	188	11564
16	191	11076
17	194	10634
18	202	10468
19	206	10119
20	209	9763
21	210	9371
22	217	9225
23	223	9087
24	230	8986
25	234	8768
26	236	8539
27	240	8350
28	247	8281
29	251	8126
30	254	7950
31	262	7936
32	266	7821
33	276	7869
34	282	7779
35	285	7636
36	291	7577
37	295	7480
38	298	7351
39	306	7365
40	310	7251
41	313	7154
42	319	7106
43	321	6989
44	325	6909
45	329	6824
46	334	6782
47	339	6724
48	342	6648
49	351	6673
50	354	6601
51	360	6564
52	367	6571
53	371	6513
54	375	6445
55	382	6451
56	395	6541
57	400	6501
58	406	6485
59	412	6456
60	420	6479
61	424	6429
62	431	6416
63	442	6473
64	457	6574
65	461	6528
66	469	6539
67	478	6553
68	489	6597
69	493	6559
70	505	6611
71	520	6705
72	530	6733
73	537	6729
74	554	6842
75	577	7016
76	589	7060
77	596	7049
78	637	7433
79	661	7610
80	685	7777
81	692	7757
82	738	8155
83	747	8150
84	756	8144
85	769	8178
86	774	8127
87	784	8131
88	788	8074
89	797	8059
90	801	8009
91	806	7957
92	816	7965
93	828	7988
94	833	7941
95	841	7924
96	847	7886
97	851	7837
98	862	7847
99	868	7813
100	881	7846
101	885	7798
102	897	7817
103	902	7777
104	916	7810
105	929	7839
106	938	7834
107	966	7979
108	980	8014
109	994	8045
110	1011	8102
111	1025	8128
112	1031	8094
113	1040	8084
114	1044	8040
115	1057	8055
116	1071	8085
117	1086	8120
118	1094	8101
119	1122	8230
120	1138	8271
121	1151	8285
122	1159	8265
123	1168	8254
124	1181	8270
125	1201	8332
126	1215	8352
127	1227	8359
128	1234	8337
129	1247	8350
130	1258	8350
131	1267	8337
132	1296	8454
133	1306	8445
134	1328	8510
135	1341	8524
136	1362	8579
137	1373	8581
138	1381	8556
139	1392	8553
140	1403	8550
141	1411	8527
142	1425	8543
143	1440	8565
144	1444	8519
145	1453	8499
146	1458	8464
147	1463	8423
148	1470	8397
149	1475	8360
150	1479	8318
151	1486	8291
152	1490	8251
153	1499	8236
154	1509	8230
155	1515	8200
156	1529	8213
157	1559	8308
158	1573	8323
159	1581	8302
160	1599	8332
161	1612	8340
162	1629	8367
163	1655	8437
164	1662	8412
165	1672	8400
166	1679	8379
167	1691	8376
168	1699	8355
169	1704	8324
170	1709	8286
171	1720	8281
172	1724	8245
173	1736	8242
174	1753	8266
175	1758	8230
176	1765	8209
177	1772	8186
178	1779	8161
179	1783	8126
